right_id	airline_name	icao_airline	country	from_city	to_city	max_freq	month
680	МАУ	AUI	Республіка Кіпр	Львів	Ларнака	2	2013-12-20
1236	МАУ	AUI	Грузія	Харків	Кутаїсі	2	2015-10-20
1238	МАУ	AUI	Республіка Казахстан	Київ	Актау	2	2015-10-20
1455	МАУ	AUI	Італійська Республіка	Івано-Франківськ	Мілан	2	2016-05-20
1162	МАУ	AUI	Республіка Індія	Київ	Гоа	1	2015-08-20
1465	Браво	BAY	Туніська Республіка	Харків	Енфіда	1	2016-06-20
1468	Браво	BAY	Грецька Республіка	Київ	Салоніки	1	2016-06-20
1466	Браво	BAY	Туніська Республіка	Львів	Енфіда	1	2016-06-20
1163	РОЗА ВІТРІВ	WRC	Республіка Індія	Київ	Гоа	1	2015-08-20
1488	Браво	BAY	Туніська Республіка	Київ	Джерба	1	2016-07-20
1767	Азур Ейр Україна	UTN	Арабська Республіка Єгипет	Львів	Шарм Ель Шейх	1	2017-03-20
1900	РОЗА ВІТРІВ	WRC	Республіка Хорватія	Дніпро	Спліт	1	2017-04-20
1122	МАУ	AUI	Італійська Республіка	Харків	Мілан	1	2015-07-20
1670	МАУ	AUI	Фінляндська Республіка	Київ	Кіттіла	1	2016-12-20
1673	МАУ	AUI	Королівство Іспанія	Львів	Малага	1	2016-12-20
1427	Українсько-середземноморські авіалінії	UKM	Хашимітське Королівство Йорданія	Харків	Амман	1	2016-04-20
635	ЯнЕір ЛТД	ANR	Держава Ізраїль	Київ	Тель-Авів	1	2013-11-20
1248	ЗЕТАВІА		Китайська Народна Республіка	Київ	Тяньцзинь	1	2015-12-20
1249	ЗЕТАВІА		Китайська Народна Республіка	Одеса	Тяньцзинь	1	2015-12-20
1379	МАУ	AUI	Азербайджанська Республіка	Івано-Франківськ	Баку	1	2016-04-20
1768	Азур Ейр Україна	UTN	Арабська Республіка Єгипет	Харків	Шарм Ель Шейх	1	2017-03-20
